gadmid,country
329,ALA
366,ALB
592,ALB
631,ALB
717,ALB
877,DZA
901,DZA
902,DZA
907,DZA
908,DZA
921,DZA
984,DZA
1019,DZA
1117,DZA
1157,DZA
1158,DZA
1161,DZA
1162,DZA
1184,DZA
1188,DZA
1193,DZA
1194,DZA
1195,DZA
1198,DZA
1205,DZA
1219,DZA
1223,DZA
1236,DZA
1241,DZA
1257,DZA
1260,DZA
1267,DZA
1335,DZA
1349,DZA
1404,DZA
1412,DZA
1419,DZA
1427,DZA
1436,DZA
1621,DZA
1686,DZA
1710,DZA
1721,DZA
1742,DZA
1744,DZA
1755,DZA
1784,DZA
1835,DZA
1932,DZA
2019,DZA
2227,ASM
2308,AGO
2321,AGO
2331,AGO
2337,AGO
2341,AGO
2346,AGO
2348,AGO
2374,AGO
2376,AGO
2381,AGO
2398,AGO
2409,AGO
2417,AGO
2430,AGO
2442,AGO
2468,AGO
2474,AGO
2523,AGO
2546,AGO
2547,AGO
2621,AGO
2629,AGO
2656,AGO
2660,AGO
2744,AGO
2786,AGO
2835,AIA
2837,ATG
2857,ARG
2858,ARG
2859,ARG
2862,ARG
2894,ARG
2975,ARG
3012,ARG
3013,ARG
3014,ARG
3015,ARG
3017,ARG
3029,ARG
3030,ARG
3036,ARG
3042,ARG
3045,ARG
3048,ARG
3054,ARG
3055,ARG
3063,ARG
3065,ARG
3076,ARG
3081,ARG
3082,ARG
3090,ARG
3093,ARG
3094,ARG
3096,ARG
3097,ARG
3098,ARG
3099,ARG
3104,ARG
3107,ARG
3116,ARG
3118,ARG
3119,ARG
3120,ARG
3121,ARG
3122,ARG
3123,ARG
3125,ARG
3128,ARG
3129,ARG
3135,ARG
3147,ARG
3148,ARG
3150,ARG
3151,ARG
3157,ARG
3164,ARG
3168,ARG
3169,ARG
3170,ARG
3172,ARG
3175,ARG
3181,ARG
3182,ARG
3186,ARG
3187,ARG
3188,ARG
3189,ARG
3191,ARG
3193,ARG
3194,ARG
3195,ARG
3196,ARG
3197,ARG
3200,ARG
3201,ARG
3202,ARG
3205,ARG
3208,ARG
3209,ARG
3211,ARG
3212,ARG
3213,ARG
3214,ARG
3224,ARG
3231,ARG
3237,ARG
3239,ARG
3242,ARG
3246,ARG
3249,ARG
3256,ARG
3259,ARG
3266,ARG
3268,ARG
3270,ARG
3274,ARG
3282,ARG
3286,ARG
3288,ARG
3289,ARG
3290,ARG
3293,ARG
3299,ARG
3302,ARG
3306,ARG
3307,ARG
3341,ARG
3342,ARG
3360,ABW
3362,AUS
3365,AUS
3366,AUS
3367,AUS
3368,AUS
3369,AUS
3370,AUS
3376,AUS
3378,AUS
3379,AUS
3380,AUS
3384,AUS
3385,AUS
3387,AUS
3388,AUS
3391,AUS
3393,AUS
3395,AUS
3397,AUS
3401,AUS
3402,AUS
3405,AUS
3407,AUS
3408,AUS
3410,AUS
3411,AUS
3415,AUS
3417,AUS
3420,AUS
3421,AUS
3427,AUS
3433,AUS
3434,AUS
3435,AUS
3436,AUS
3437,AUS
3438,AUS
3440,AUS
3441,AUS
3442,AUS
3444,AUS
3445,AUS
3447,AUS
3448,AUS
3459,AUS
3462,AUS
3464,AUS
3466,AUS
3469,AUS
3471,AUS
3472,AUS
3474,AUS
3485,AUS
3487,AUS
3489,AUS
3491,AUS
3492,AUS
3496,AUS
3497,AUS
3498,AUS
3499,AUS
3500,AUS
3501,AUS
3502,AUS
3503,AUS
3504,AUS
3505,AUS
3506,AUS
3508,AUS
3517,AUS
3518,AUS
3519,AUS
3520,AUS
3522,AUS
3523,AUS
3524,AUS
3525,AUS
3526,AUS
3527,AUS
3528,AUS
3529,AUS
3530,AUS
3534,AUS
3537,AUS
3541,AUS
3542,AUS
3546,AUS
3547,AUS
3548,AUS
3550,AUS
3551,AUS
3552,AUS
3554,AUS
3555,AUS
3559,AUS
3562,AUS
3566,AUS
3569,AUS
3570,AUS
3571,AUS
3573,AUS
3579,AUS
3583,AUS
3584,AUS
3586,AUS
3592,AUS
3593,AUS
3598,AUS
3601,AUS
3602,AUS
3603,AUS
3611,AUS
3615,AUS
3616,AUS
3618,AUS
3619,AUS
3620,AUS
3629,AUS
3630,AUS
3632,AUS
3637,AUS
3639,AUS
3644,AUS
3649,AUS
3650,AUS
3651,AUS
3652,AUS
3653,AUS
3654,AUS
3655,AUS
3656,AUS
3659,AUS
3661,AUS
3662,AUS
3663,AUS
3664,AUS
3665,AUS
3666,AUS
3667,AUS
3668,AUS
3671,AUS
3672,AUS
3682,AUS
3684,AUS
3686,AUS
3689,AUS
3694,AUS
3695,AUS
3696,AUS
3697,AUS
3703,AUS
3708,AUS
3709,AUS
3710,AUS
3711,AUS
3712,AUS
3714,AUS
3717,AUS
3718,AUS
3722,AUS
3730,AUS
3733,AUS
3734,AUS
3736,AUS
3737,AUS
3738,AUS
3742,AUS
3743,AUS
3744,AUS
3746,AUS
3748,AUS
3749,AUS
3753,AUS
3754,AUS
3755,AUS
3757,AUS
3758,AUS
3759,AUS
3760,AUS
3761,AUS
3762,AUS
3763,AUS
3764,AUS
3765,AUS
3766,AUS
3767,AUS
3772,AUS
3775,AUS
3777,AUS
3781,AUS
3782,AUS
3784,AUS
3786,AUS
3788,AUS
3790,AUS
3791,AUS
3792,AUS
3794,AUS
3798,AUS
3799,AUS
3802,AUS
3803,AUS
3804,AUS
3805,AUS
3806,AUS
3808,AUS
3809,AUS
3812,AUS
3815,AUS
3816,AUS
3817,AUS
3823,AUS
3824,AUS
3827,AUS
3830,AUS
3840,AUS
3842,AUS
3846,AUS
3847,AUS
3852,AUS
